run_id,batch_id,user_id,sign_up_date,gender,age_group,country,city,acquisition_channel,customer_segment
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U1,2024-10-16,Female,18-24,India,Bangalore,Instagram,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U2,2025-10-02,Female,35-44,India,Delhi,Direct,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U3,2026-02-13,Prefer not to disclose,45+,India,Hyderabad,Google Ads,Premium
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U4,2025-12-26,Male,35-44,India,Noida,Instagram,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U5,2025-02-06,Prefer not to disclose,25-34,India,Jaipur,Organic,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U6,2024-09-02,Female,25-34,India,Pune,Organic,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U7,2024-12-18,Male,18-24,India,Pune,Google Ads,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U8,2025-10-29,Prefer not to disclose,45+,India,Lucknow,Direct,Premium
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U9,2024-12-04,Female,18-24,India,Delhi,Organic,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U10,2024-12-07,Female,45+,India,Chennai,Google Ads,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U11,2026-01-05,Female,18-24,India,Noida,Direct,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U12,2025-04-28,Female,25-34,India,Kolkata,Facebook,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U13,2024-09-21,Prefer not to disclose,45+,India,Kolkata,Email,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U14,2025-01-13,Female,18-24,India,Noida,Instagram,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U15,2025-10-24,Prefer not to disclose,25-34,India,Noida,Organic,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U16,2025-12-10,Male,18-24,India,Bangalore,Google Ads,Premium
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U17,2026-04-20,Male,18-24,India,Bangalore,Google Ads,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U18,2025-09-30,Female,25-34,India,Pune,Instagram,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U19,2025-02-24,Prefer not to disclose,35-44,India,Kolkata,Google Ads,Occasional
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U20,2025-10-04,Female,45+,India,Kolkata,Facebook,Regular
72e8cd21-4747-456a-bffd-d6498ce448d1,2026_W23,U21,2025-02-21,Female,45+,India,Mumbai,Organic,Regular
