run_id,batch_id,user_id,sign_up_date,gender,age_group,country,city,acquisition_channel,customer_segment
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U1,2025-12-05,Male,35-44,India,Lucknow,Email,Premium
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U2,2024-05-30,Male,25-34,India,Kolkata,Direct,Premium
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U3,2024-07-06,Prefer not to disclose,45+,India,Delhi,Organic,Premium
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U4,2026-04-10,Prefer not to disclose,18-24,India,Mumbai,Organic,Regular
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U5,2024-12-21,Female,25-34,India,Hyderabad,Direct,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U6,2026-01-20,Female,45+,India,Noida,Direct,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U7,2024-11-26,Male,45+,India,Pune,Instagram,Regular
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U8,2026-01-12,Male,18-24,India,Jaipur,Facebook,Regular
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U9,2025-08-16,Prefer not to disclose,45+,India,Lucknow,Email,Regular
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U10,2025-12-07,Male,18-24,India,Chennai,Facebook,Premium
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U11,2025-06-21,Female,45+,India,Kolkata,Direct,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U12,2025-03-18,Female,25-34,India,Delhi,Organic,Regular
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U13,2025-07-13,Prefer not to disclose,45+,India,Hyderabad,Email,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U14,2025-10-25,Prefer not to disclose,18-24,India,Mumbai,Direct,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U15,2025-04-26,Female,45+,India,Kolkata,Direct,Premium
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U16,2025-04-12,Female,18-24,India,Kolkata,Email,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U17,2026-03-03,Female,18-24,India,Hyderabad,Organic,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U18,2026-03-28,Prefer not to disclose,45+,India,Lucknow,Organic,Occasional
deed68b6-4df2-42fc-a5d8-bf100fc91257,2026_W21,U19,2025-07-12,Male,25-34,India,Bangalore,Organic,Premium
