event_id,user_id,session_id,event_timestamp,event_type,product_id,variant
1,U13287,S4918,2026-05-20 10:21:06,homepage_visit,P27,A
2,U5986,S4674,2026-05-20 22:16:06,homepage_visit,P121,B
3,U23912,S4541,2026-05-20 01:34:12,homepage_visit,P155,B
4,U17558,S3342,2026-05-19 20:46:08,homepage_visit,P155,A
5,U23158,S724,2026-05-19 20:28:15,homepage_visit,P111,B
6,U6272,S3100,2026-05-23 14:52:14,homepage_visit,P89,B
7,U1802,S2434,2026-05-23 02:38:14,homepage_visit,P142,B
8,U14770,S797,2026-05-23 21:52:18,homepage_visit,P78,A
9,U8730,S1400,2026-05-22 13:30:14,homepage_visit,P179,A
10,U22100,S18,2026-05-19 16:02:41,homepage_visit,P37,B
11,U7127,S2359,2026-05-24 06:34:54,homepage_visit,P56,B
12,U20254,S1208,2026-05-22 20:13:15,homepage_visit,P120,B
13,U21670,S2393,2026-05-21 08:45:50,homepage_visit,P183,A
14,U16203,S2838,2026-05-24 07:47:36,homepage_visit,P114,B
15,U4799,S2948,2026-05-20 23:04:27,homepage_visit,P194,B
16,U13124,S1505,2026-05-18 18:59:37,homepage_visit,P101,B
17,U21893,S4268,2026-05-22 21:57:32,homepage_visit,P114,A
18,U20618,S3975,2026-05-21 04:05:29,homepage_visit,P165,B
19,U4176,S250,2026-05-20 09:17:46,homepage_visit,P91,B
20,U17382,S2236,2026-05-22 12:52:24,homepage_visit,P4,A
21,U11225,S3619,2026-05-23 18:38:18,homepage_visit,P156,B
22,U21864,S4547,2026-05-20 13:37:39,homepage_visit,P6,B
23,U20748,S2898,2026-05-23 02:12:44,homepage_visit,P63,B
24,U15935,S4979,2026-05-23 06:25:44,homepage_visit,P53,B
25,U23531,S1991,2026-05-22 08:42:51,homepage_visit,P72,B
26,U6275,S3186,2026-05-21 14:48:15,homepage_visit,P114,A
27,U2860,S2891,2026-05-24 02:02:02,homepage_visit,P162,A
28,U18814,S3137,2026-05-19 12:48:51,homepage_visit,P173,B
29,U20782,S23,2026-05-24 06:36:44,homepage_visit,P7,A
30,U24588,S4633,2026-05-20 16:08:50,homepage_visit,P115,B
31,U20563,S795,2026-05-21 16:47:26,homepage_visit,P120,B
32,U12016,S58,2026-05-23 02:30:28,homepage_visit,P121,A
33,U6495,S2610,2026-05-19 14:41:09,homepage_visit,P27,B
34,U18020,S3292,2026-05-24 05:04:17,homepage_visit,P146,A
35,U14281,S46,2026-05-19 02:51:14,homepage_visit,P90,A
36,U17455,S4063,2026-05-22 21:18:38,homepage_visit,P17,B
37,U14023,S3936,2026-05-19 11:10:17,homepage_visit,P150,A
38,U12333,S1353,2026-05-20 15:43:17,homepage_visit,P125,B
39,U24583,S3560,2026-05-20 17:47:18,homepage_visit,P41,A
40,U967,S4723,2026-05-20 06:38:19,homepage_visit,P109,B
41,U4204,S3900,2026-05-18 20:35:15,homepage_visit,P147,A
42,U5736,S4950,2026-05-22 15:08:41,homepage_visit,P85,B
43,U24168,S3035,2026-05-18 14:53:54,homepage_visit,P125,A
44,U10959,S1781,2026-05-21 11:36:46,homepage_visit,P59,B
45,U24975,S4440,2026-05-20 00:15:59,homepage_visit,P28,B
46,U16944,S4776,2026-05-23 12:34:19,homepage_visit,P194,B
47,U16927,S1809,2026-05-20 17:44:23,homepage_visit,P61,A
48,U2164,S1185,2026-05-23 01:15:45,homepage_visit,P22,A
49,U19992,S2533,2026-05-22 06:45:03,homepage_visit,P168,B
50,U20742,S132,2026-05-22 09:22:35,homepage_visit,P116,B
51,U19128,S3081,2026-05-20 17:58:46,homepage_visit,P106,A
52,U23800,S4199,2026-05-20 02:07:17,homepage_visit,P107,A
53,U3791,S1093,2026-05-22 05:54:43,homepage_visit,P110,A
54,U15621,S3943,2026-05-19 05:50:12,homepage_visit,P50,B
55,U18553,S411,2026-05-23 09:12:47,homepage_visit,P62,B
56,U16268,S2523,2026-05-24 07:29:51,homepage_visit,P97,A
57,U11484,S2887,2026-05-19 12:24:15,homepage_visit,P30,B
58,U20299,S653,2026-05-23 22:20:45,homepage_visit,P42,B
