order_id,user_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,tax_amount,gross_revenue,net_revenue,payment_method,order_status
O33061,U6364,P150,2026-05-23 13:31:26,2,1754.98,23.07,93.65,627.64,3509.96,3486.89,Debit Card,Completed
O33062,U11691,P104,2026-05-19 14:55:46,2,9757.78,2380.19,147.12,3084.37,19515.56,17135.370000000003,Credit Card,Completed
O33063,U2642,P108,2026-05-19 07:26:54,3,11160.59,4076.66,69.62,5292.92,33481.770000000004,29405.110000000004,Debit Card,Completed
O33064,U1347,P176,2026-05-20 18:28:09,1,4398.37,171.83,59.28,760.78,4398.37,4226.54,Debit Card,Completed
O33065,U7676,P73,2026-05-22 14:29:08,1,2879.92,15.06,112.36,515.67,2879.92,2864.86,UPI,Completed
O33066,U12025,P194,2026-05-24 04:42:20,3,9100.36,2839.55,173.23,4403.08,27301.08,24461.530000000002,Debit Card,Completed
O33067,U13673,P197,2026-05-23 20:03:40,1,5431.89,752.06,174.57,842.37,5431.89,4679.83,Credit Card,Completed
O33068,U3985,P162,2026-05-21 17:19:17,4,1758.3,754.4,199.01,1130.18,7033.2,6278.8,Wallet,Completed
O33069,U7216,P89,2026-05-20 12:14:34,3,1918.81,428.53,159.49,959.02,5756.43,5327.900000000001,Debit Card,Completed
O33070,U2902,P137,2026-05-24 11:25:58,3,4116.2,1264.61,143.94,1995.12,12348.599999999999,11083.989999999998,Wallet,Completed
O33071,U2126,P153,2026-05-23 07:05:22,2,5732.69,246.41,66.19,2019.41,11465.38,11218.97,UPI,Completed
O33072,U6875,P143,2026-05-22 08:27:39,1,8470.11,1145.45,164.58,1318.44,8470.11,7324.660000000001,Debit Card,Completed
O33073,U12013,P52,2026-05-23 10:23:25,4,2177.52,199.56,193.81,1531.89,8710.08,8510.52,Debit Card,Completed
O33074,U2662,P93,2026-05-24 13:36:29,3,2686.71,1118.2,73.75,1249.55,8060.13,6941.93,Wallet,Completed
O33075,U1048,P37,2026-05-23 01:43:25,3,5020.6,897.9,57.0,2549.5,15061.800000000001,14163.900000000001,Debit Card,Completed
O33076,U2811,P145,2026-05-22 00:08:56,1,7130.0,688.1,185.42,1159.54,7130.0,6441.9,Credit Card,Completed
O33077,U7678,P51,2026-05-24 18:19:40,2,3357.05,952.03,152.81,1037.17,6714.1,5762.070000000001,Wallet,Completed
O33078,U2470,P36,2026-05-24 08:18:39,2,8916.32,1342.4,172.3,2968.24,17832.64,16490.239999999998,UPI,Completed
O33079,U11599,P25,2026-05-19 06:43:40,3,7397.83,2523.02,93.02,3540.68,22193.489999999998,19670.469999999998,Credit Card,Completed
O33080,U9267,P57,2026-05-23 21:43:48,3,10827.04,2591.37,102.04,5380.16,32481.120000000003,29889.750000000004,Credit Card,Completed
O33081,U4402,P33,2026-05-19 16:46:51,4,7743.7,1648.65,55.63,5278.71,30974.8,29326.149999999998,Credit Card,Completed
O33082,U10422,P35,2026-05-21 10:41:02,4,3622.97,1377.09,190.9,2360.66,14491.88,13114.789999999999,Credit Card,Completed
O33083,U10106,P138,2026-05-18 23:30:59,3,3415.15,206.85,80.48,1806.95,10245.45,10038.6,Credit Card,Completed
O33084,U1022,P99,2026-05-23 19:43:13,4,9428.55,611.68,199.39,6678.45,37714.2,37102.52,Debit Card,Completed
O33085,U1383,P23,2026-05-21 01:57:02,4,5731.88,3243.09,68.71,3543.2,22927.52,19684.43,Wallet,Completed
O33086,U6286,P44,2026-05-19 03:09:39,1,4498.06,330.03,53.95,750.25,4498.06,4168.030000000001,UPI,Completed
O33087,U14826,P71,2026-05-19 10:20:41,3,5014.6,1867.19,181.86,2371.79,15043.800000000001,13176.61,Credit Card,Completed
O33088,U13381,P183,2026-05-22 02:06:33,3,7755.0,1966.86,76.05,3833.67,23265.0,21298.14,Wallet,Completed
O33089,U8023,P164,2026-05-24 13:39:33,4,2960.55,1575.47,194.5,1848.01,11842.2,10266.730000000001,UPI,Completed
O33090,U5916,P71,2026-05-22 23:39:59,2,5014.6,434.28,176.87,1727.09,10029.2,9594.92,Wallet,Completed
O33091,U13815,P14,2026-05-21 03:22:17,2,6788.61,1475.18,192.64,2178.37,13577.22,12102.039999999999,Wallet,Completed
O33092,U1695,P16,2026-05-21 20:41:19,1,5839.63,32.35,73.75,1045.31,5839.63,5807.28,Credit Card,Completed
O33093,U12244,P174,2026-05-21 02:35:58,1,5653.36,279.12,128.43,967.36,5653.36,5374.24,Debit Card,Completed
O33094,U6489,P156,2026-05-20 07:36:14,1,3003.98,275.37,98.98,491.15,3003.98,2728.61,Debit Card,Completed
O33095,U12829,P48,2026-05-21 20:40:49,1,7867.12,457.68,81.27,1333.7,7867.12,7409.44,Wallet,Completed
O33096,U1276,P54,2026-05-24 01:09:36,1,7144.23,561.33,168.49,1184.92,7144.23,6582.9,Credit Card,Completed
O33097,U11593,P57,2026-05-22 00:08:10,1,10827.04,719.55,186.83,1819.35,10827.04,10107.490000000002,Credit Card,Completed
O33098,U10117,P3,2026-05-19 04:36:00,1,4374.0,187.29,59.99,753.61,4374.0,4186.71,Wallet,Completed
O33099,U7249,P62,2026-05-19 06:32:49,4,3122.53,1473.42,78.75,1983.01,12490.12,11016.7,Credit Card,Completed
O33100,U702,P188,2026-05-20 05:19:17,4,7118.57,1423.36,94.05,4869.17,28474.28,27050.92,Wallet,Completed
O33101,U14560,P76,2026-05-22 03:45:50,1,1624.83,207.31,146.43,255.15,1624.83,1417.52,Debit Card,Completed
O33102,U11731,P87,2026-05-24 05:06:48,2,2292.48,443.43,81.34,745.48,4584.96,4141.53,Debit Card,Completed
O33103,U10231,P68,2026-05-22 05:43:17,2,7541.87,371.48,98.59,2648.21,15083.74,14712.26,UPI,Completed
O33104,U9844,P84,2026-05-22 07:50:05,3,6942.35,2259.55,196.31,3342.15,20827.050000000003,18567.500000000004,Wallet,Completed
O33105,U10647,P83,2026-05-21 08:43:42,1,5181.41,509.18,181.66,841.0,5181.41,4672.23,Credit Card,Completed
O33106,U12894,P129,2026-05-19 11:08:38,2,8504.14,99.91,72.59,3043.51,17008.28,16908.37,Credit Card,Completed
O33107,U11149,P106,2026-05-18 23:41:23,1,6727.17,731.79,123.84,1079.17,6727.17,5995.38,Debit Card,Completed
O33108,U2934,P104,2026-05-19 05:32:47,4,9757.78,5412.79,191.04,6051.3,39031.12,33618.33,UPI,Completed
O33109,U12530,P188,2026-05-23 03:35:00,1,7118.57,547.45,148.25,1182.8,7118.57,6571.12,Wallet,Completed
O33110,U7003,P65,2026-05-22 11:59:08,1,4164.6,306.8,103.78,694.4,4164.6,3857.8,UPI,Completed
O33111,U13443,P156,2026-05-21 21:42:40,3,3003.98,597.15,167.15,1514.66,9011.94,8414.79,Debit Card,Completed
O33112,U13825,P98,2026-05-19 10:57:35,4,3115.74,611.95,69.34,2133.18,12462.96,11851.009999999998,Debit Card,Completed
O33113,U12664,P100,2026-05-21 13:45:24,3,5176.99,345.01,72.0,2733.47,15530.97,15185.96,Credit Card,Completed
O33114,U2952,P179,2026-05-19 13:55:22,2,9508.79,446.06,131.34,3342.87,19017.58,18571.52,UPI,Completed
O33115,U3800,P190,2026-05-23 12:15:54,4,2503.15,59.06,124.44,1791.64,10012.6,9953.54,Debit Card,Completed
O33116,U14025,P141,2026-05-21 05:43:12,2,7788.0,635.87,98.29,2689.22,15576.0,14940.13,UPI,Completed
O33117,U695,P191,2026-05-20 01:45:46,2,6590.48,1830.12,61.0,2043.15,13180.96,11350.84,Credit Card,Completed
O33118,U5432,P177,2026-05-23 23:40:08,1,4516.64,74.78,188.52,799.53,4516.64,4441.860000000001,Debit Card,Completed
O33119,U4510,P163,2026-05-20 03:22:15,3,4762.0,1148.19,154.03,2364.81,14286.0,13137.81,UPI,Completed
O33120,U2384,P192,2026-05-24 17:29:27,1,1891.46,101.3,181.91,322.23,1891.46,1790.16,Debit Card,Completed
O33121,U3630,P196,2026-05-24 02:36:21,2,2838.89,624.53,68.42,909.58,5677.78,5053.25,UPI,Completed
O33122,U3379,P57,2026-05-19 10:44:30,4,10827.04,6333.22,100.4,6655.49,43308.16,36974.94,Wallet,Completed
O33123,U10231,P173,2026-05-24 09:31:57,2,9496.43,251.09,90.21,3373.52,18992.86,18741.77,Wallet,Completed
O33124,U2634,P189,2026-05-18 19:35:00,3,2969.48,266.7,163.6,1555.51,8908.44,8641.74,Debit Card,Completed
O33125,U1002,P71,2026-05-18 21:58:35,4,5014.6,2888.91,145.36,3090.51,20058.4,17169.49,Debit Card,Completed
O33126,U11671,P136,2026-05-24 01:17:40,2,7830.74,632.94,191.89,2705.14,15661.48,15028.539999999999,Credit Card,Completed
O33127,U14612,P105,2026-05-22 09:47:31,2,8307.55,755.55,168.92,2854.72,16615.1,15859.55,UPI,Completed
O33128,U13809,P142,2026-05-22 01:08:53,1,4252.06,388.65,166.42,695.41,4252.06,3863.4100000000003,Credit Card,Completed
O33129,U12912,P155,2026-05-21 01:56:56,4,1625.36,256.29,153.07,1124.13,6501.44,6245.15,Wallet,Completed
O33130,U7944,P63,2026-05-24 12:08:20,3,2662.17,24.23,181.67,1433.21,7986.51,7962.280000000001,Wallet,Completed
O33131,U12428,P166,2026-05-22 11:54:03,3,5773.11,1002.02,74.37,2937.12,17319.329999999998,16317.309999999998,Credit Card,Completed
O33132,U13175,P145,2026-05-22 01:16:18,3,7130.0,515.7,110.3,3757.37,21390.0,20874.3,Wallet,Completed
O33133,U12400,P94,2026-05-21 09:18:49,3,4225.87,1031.48,172.53,2096.3,12677.61,11646.130000000001,Wallet,Completed
O33134,U2930,P53,2026-05-20 05:39:36,3,9161.56,891.26,133.55,4786.82,27484.68,26593.420000000002,Debit Card,Completed
