session_id,user_id,session_start,session_end,traffic_source,campaign_name,device_type,browser,operating_system,landing_page
S1,U12632,2026-05-21 02:59:16,2026-05-21 03:04:16,Organic,Attention,Mobile,Edge,MacOS,/home
S2,U593,2026-05-23 19:02:52,2026-05-23 19:17:52,Direct,Senior,Tablet,Edge,iOS,/products
S3,U8329,2026-05-22 07:00:35,2026-05-22 07:12:35,Email,Field,Mobile,Safari,MacOS,/home
S4,U875,2026-05-20 06:03:44,2026-05-20 06:41:44,Instagram,Run,Desktop,Chrome,iOS,/offers
S5,U8788,2026-05-23 05:02:20,2026-05-23 05:20:20,Organic,Two,Desktop,Chrome,Android,/offers
S6,U9676,2026-05-24 00:17:42,2026-05-24 00:28:42,Direct,Next,Mobile,Safari,Android,/home
S7,U21731,2026-05-19 18:19:12,2026-05-19 18:39:12,Google Ads,My,Mobile,Edge,MacOS,/products
S8,U10012,2026-05-20 02:12:46,2026-05-20 02:27:46,Direct,Teacher,Mobile,Edge,MacOS,/offers
S9,U9217,2026-05-21 05:37:21,2026-05-21 06:03:21,Facebook,Way,Desktop,Safari,iOS,/products
S10,U3018,2026-05-21 15:55:33,2026-05-21 16:32:33,Facebook,State,Mobile,Edge,MacOS,/home
S11,U14779,2026-05-21 00:00:05,2026-05-21 00:03:05,Google Ads,Walk,Tablet,Chrome,Android,/home
S12,U11347,2026-05-21 08:30:37,2026-05-21 08:44:37,Email,Best,Desktop,Safari,MacOS,/home
S13,U4164,2026-05-19 16:20:02,2026-05-19 16:51:02,Instagram,Week,Mobile,Edge,Android,/offers
S14,U9085,2026-05-20 23:20:36,2026-05-20 23:48:36,Instagram,Thing,Tablet,Chrome,Android,/products
S15,U19754,2026-05-22 08:38:56,2026-05-22 09:09:56,Organic,May,Tablet,Chrome,Windows,/products
S16,U15343,2026-05-22 14:46:05,2026-05-22 14:49:05,Google Ads,Watch,Desktop,Chrome,Android,/products
S17,U8504,2026-05-19 09:40:17,2026-05-19 10:18:17,Direct,Dream,Tablet,Firefox,Android,/offers
S18,U22100,2026-05-21 12:30:39,2026-05-21 12:35:39,Facebook,Citizen,Desktop,Firefox,iOS,/home
S19,U21345,2026-05-21 12:34:04,2026-05-21 12:40:04,Instagram,Exactly,Tablet,Safari,iOS,/home
S20,U13463,2026-05-18 16:18:44,2026-05-18 16:30:44,Email,Success,Mobile,Safari,Android,/home
S21,U1847,2026-05-19 09:06:47,2026-05-19 09:39:47,Direct,Pm,Desktop,Safari,iOS,/offers
S22,U8240,2026-05-21 07:18:15,2026-05-21 07:28:15,Email,Walk,Tablet,Chrome,Windows,/offers
S23,U20782,2026-05-22 04:16:18,2026-05-22 04:48:18,Facebook,Majority,Mobile,Firefox,MacOS,/home
S24,U7918,2026-05-23 10:47:22,2026-05-23 11:10:22,Organic,Fast,Tablet,Safari,iOS,/offers
S25,U18321,2026-05-22 13:08:04,2026-05-22 13:36:04,Email,Take,Mobile,Chrome,iOS,/home
S26,U12097,2026-05-24 03:57:18,2026-05-24 04:36:18,Instagram,Coach,Tablet,Safari,Android,/products
S27,U21301,2026-05-21 18:32:19,2026-05-21 18:48:19,Direct,Require,Mobile,Safari,iOS,/products
S28,U20900,2026-05-22 13:41:42,2026-05-22 14:07:42,Direct,Speak,Tablet,Chrome,MacOS,/offers
S29,U3419,2026-05-18 12:20:24,2026-05-18 12:52:24,Direct,Often,Desktop,Firefox,Windows,/offers
S30,U15187,2026-05-20 09:13:38,2026-05-20 09:32:38,Facebook,Surface,Tablet,Chrome,Android,/products
S31,U19037,2026-05-18 23:16:11,2026-05-18 23:40:11,Email,Nation,Tablet,Chrome,Windows,/products
S32,U12057,2026-05-18 20:17:56,2026-05-18 20:39:56,Direct,Gun,Desktop,Chrome,iOS,/offers
S33,U21737,2026-05-21 02:16:35,2026-05-21 02:17:35,Organic,Identify,Desktop,Firefox,Android,/home
S34,U23553,2026-05-24 01:47:05,2026-05-24 02:01:05,Instagram,Husband,Desktop,Edge,Android,/home
S35,U1990,2026-05-18 23:05:26,2026-05-18 23:07:26,Email,Majority,Mobile,Safari,MacOS,/home
S36,U12193,2026-05-20 09:13:15,2026-05-20 09:38:15,Organic,Attorney,Tablet,Chrome,iOS,/home
S37,U4831,2026-05-18 18:51:19,2026-05-18 19:13:19,Email,Prevent,Mobile,Firefox,Windows,/products
S38,U6877,2026-05-24 09:12:26,2026-05-24 09:31:26,Google Ads,Yard,Tablet,Firefox,MacOS,/offers
S39,U5668,2026-05-22 23:44:15,2026-05-23 00:18:15,Email,Pattern,Tablet,Firefox,Windows,/products
S40,U20430,2026-05-20 21:48:46,2026-05-20 21:50:46,Direct,Someone,Desktop,Firefox,Windows,/products
S41,U13264,2026-05-21 22:03:24,2026-05-21 22:21:24,Email,With,Mobile,Safari,Windows,/products
S42,U15322,2026-05-21 06:59:11,2026-05-21 07:17:11,Instagram,Benefit,Desktop,Edge,MacOS,/products
S43,U8953,2026-05-18 12:48:36,2026-05-18 13:28:36,Email,Security,Mobile,Chrome,MacOS,/products
S44,U22535,2026-05-22 17:44:59,2026-05-22 18:09:59,Google Ads,Religious,Mobile,Safari,iOS,/offers
S45,U23398,2026-05-23 09:33:16,2026-05-23 09:48:16,Google Ads,High,Tablet,Chrome,Windows,/products
S46,U14281,2026-05-20 01:51:55,2026-05-20 01:56:55,Organic,Leg,Mobile,Firefox,iOS,/products
S47,U8637,2026-05-24 04:51:31,2026-05-24 04:52:31,Direct,Conference,Mobile,Safari,MacOS,/products
S48,U16767,2026-05-21 11:56:04,2026-05-21 11:57:04,Instagram,Arm,Desktop,Firefox,Android,/home
S49,U6738,2026-05-21 02:23:59,2026-05-21 02:35:59,Google Ads,Hotel,Desktop,Chrome,MacOS,/products
S50,U12394,2026-05-19 19:58:58,2026-05-19 20:33:58,Facebook,Difficult,Desktop,Chrome,Android,/home
S51,U24176,2026-05-19 04:46:45,2026-05-19 05:19:45,Facebook,Wide,Tablet,Safari,Android,/offers
S52,U22838,2026-05-24 04:40:23,2026-05-24 05:09:23,Email,Research,Mobile,Firefox,iOS,/products
S53,U9371,2026-05-22 16:08:15,2026-05-22 16:41:15,Email,Really,Tablet,Chrome,iOS,/home
S54,U7919,2026-05-21 16:01:58,2026-05-21 16:14:58,Email,Subject,Desktop,Chrome,Windows,/home
S55,U4016,2026-05-19 17:59:39,2026-05-19 18:04:39,Direct,Improve,Desktop,Safari,Windows,/offers
S56,U12886,2026-05-24 00:39:34,2026-05-24 01:17:34,Instagram,Police,Mobile,Safari,Android,/home
S57,U16136,2026-05-19 02:27:58,2026-05-19 02:36:58,Organic,Onto,Desktop,Edge,Windows,/home
S58,U12016,2026-05-21 12:16:06,2026-05-21 12:35:06,Direct,Continue,Desktop,Chrome,Windows,/offers
S59,U11026,2026-05-23 14:10:16,2026-05-23 14:22:16,Facebook,Point,Desktop,Firefox,iOS,/home
S60,U2839,2026-05-18 18:28:45,2026-05-18 19:08:45,Email,Little,Tablet,Firefox,iOS,/offers
S61,U17824,2026-05-19 20:41:37,2026-05-19 21:00:37,Instagram,Line,Mobile,Safari,Windows,/products
S62,U4077,2026-05-22 22:31:08,2026-05-22 23:08:08,Facebook,Sometimes,Desktop,Firefox,Android,/home
S63,U17179,2026-05-18 17:31:20,2026-05-18 17:54:20,Email,Little,Mobile,Safari,Windows,/products
S64,U7454,2026-05-23 22:05:29,2026-05-23 22:07:29,Instagram,Issue,Desktop,Safari,iOS,/products
S65,U24025,2026-05-20 04:52:26,2026-05-20 05:22:26,Instagram,Art,Mobile,Chrome,MacOS,/home
S66,U85,2026-05-24 05:56:58,2026-05-24 06:25:58,Google Ads,Very,Desktop,Edge,MacOS,/home
S67,U21746,2026-05-22 04:58:26,2026-05-22 05:00:26,Instagram,Somebody,Desktop,Safari,Windows,/offers
S68,U15780,2026-05-22 11:43:13,2026-05-22 12:11:13,Organic,Truth,Desktop,Chrome,iOS,/home
S69,U3270,2026-05-18 23:20:01,2026-05-18 23:29:01,Instagram,Customer,Desktop,Edge,Android,/offers
S70,U22323,2026-05-24 10:29:56,2026-05-24 10:43:56,Google Ads,Tough,Mobile,Edge,Windows,/offers
S71,U12167,2026-05-21 13:36:40,2026-05-21 13:52:40,Direct,Eight,Mobile,Safari,Windows,/offers
S72,U9259,2026-05-20 00:11:55,2026-05-20 00:26:55,Google Ads,Nice,Desktop,Chrome,Android,/products
S73,U16598,2026-05-22 13:11:12,2026-05-22 13:48:12,Instagram,Chance,Desktop,Edge,Android,/home
S74,U19310,2026-05-18 15:35:06,2026-05-18 15:55:06,Direct,Possible,Desktop,Firefox,MacOS,/home
S75,U6403,2026-05-18 18:05:56,2026-05-18 18:37:56,Google Ads,Poor,Tablet,Edge,Windows,/products
S76,U6726,2026-05-24 09:46:25,2026-05-24 09:59:25,Instagram,Protect,Desktop,Firefox,Windows,/products
S77,U19905,2026-05-23 01:12:47,2026-05-23 01:28:47,Direct,Box,Tablet,Chrome,Android,/products
S78,U20983,2026-05-24 07:35:34,2026-05-24 07:57:34,Instagram,Market,Desktop,Safari,Android,/home
S79,U724,2026-05-22 05:39:58,2026-05-22 06:19:58,Instagram,Live,Desktop,Chrome,iOS,/offers
S80,U15302,2026-05-20 16:46:24,2026-05-20 17:04:24,Direct,Support,Desktop,Edge,Android,/home
S81,U23658,2026-05-18 11:41:33,2026-05-18 12:17:33,Google Ads,Lot,Tablet,Edge,MacOS,/offers
S82,U14823,2026-05-21 23:01:27,2026-05-21 23:41:27,Google Ads,Key,Mobile,Edge,Android,/products
S83,U21173,2026-05-21 06:18:29,2026-05-21 06:49:29,Organic,Message,Mobile,Chrome,iOS,/home
S84,U14003,2026-05-21 10:55:34,2026-05-21 11:14:34,Organic,Fish,Mobile,Safari,Windows,/products
