user_id,sign_up_date,gender,age_group,Country,city,acquisition_channel,customer_segment
U1,2025-07-27,Prefer not to disclose,18-24,India,Delhi,Direct,Premium
U2,2024-06-30,Prefer not to disclose,45+,India,Pune,Organic,Regular
U3,2025-09-24,Female,25-34,India,Lucknow,Direct,Regular
U4,2026-01-27,Female,18-24,India,Mumbai,Organic,Premium
U5,2026-04-29,Male,25-34,India,Delhi,Organic,Occasional
U6,2025-12-22,Prefer not to disclose,18-24,India,Chennai,Email,Occasional
U7,2025-06-13,Male,18-24,India,Noida,Google Ads,Occasional
U8,2024-06-16,Male,45+,India,Noida,Email,Regular
U9,2025-11-18,Male,45+,India,Chennai,Organic,Occasional
U10,2024-10-10,Male,35-44,India,Noida,Email,Regular
U11,2024-06-04,Female,35-44,India,Hyderabad,Organic,Regular
U12,2024-08-13,Female,18-24,India,Hyderabad,Facebook,Regular
U13,2025-01-05,Prefer not to disclose,35-44,India,Lucknow,Direct,Premium
U14,2024-10-18,Female,35-44,India,Jaipur,Facebook,Regular
U15,2025-05-28,Male,45+,India,Noida,Direct,Occasional
U16,2024-06-24,Female,18-24,India,Chennai,Facebook,Regular
U17,2025-01-09,Prefer not to disclose,45+,India,Bangalore,Google Ads,Premium
U18,2025-08-12,Prefer not to disclose,18-24,India,Bangalore,Instagram,Premium
U19,2025-01-15,Male,45+,India,Chennai,Instagram,Regular
U20,2026-03-15,Prefer not to disclose,25-34,India,Chennai,Organic,Occasional
U21,2025-02-10,Male,35-44,India,Lucknow,Direct,Occasional
U22,2024-08-09,Prefer not to disclose,35-44,India,Chennai,Email,Occasional
U23,2025-09-07,Prefer not to disclose,35-44,India,Jaipur,Organic,Regular
U24,2024-11-05,Male,25-34,India,Lucknow,Email,Occasional
U25,2024-10-15,Prefer not to disclose,25-34,India,Bangalore,Email,Occasional
U26,2024-09-30,Male,35-44,India,Kolkata,Email,Premium
U27,2025-01-02,Prefer not to disclose,45+,India,Pune,Google Ads,Regular
U28,2024-07-07,Female,25-34,India,Delhi,Facebook,Regular
U29,2025-04-07,Prefer not to disclose,45+,India,Lucknow,Organic,Premium
U30,2025-09-15,Female,45+,India,Jaipur,Google Ads,Premium
U31,2025-01-30,Male,45+,India,Delhi,Direct,Premium
U32,2024-08-21,Male,45+,India,Kolkata,Google Ads,Premium
U33,2025-06-28,Male,35-44,India,Lucknow,Email,Regular
U34,2025-12-29,Female,25-34,India,Delhi,Email,Occasional
U35,2025-08-27,Male,45+,India,Chennai,Organic,Regular
U36,2024-12-09,Male,45+,India,Kolkata,Instagram,Premium
U37,2025-12-25,Prefer not to disclose,45+,India,Jaipur,Organic,Occasional
U38,2025-11-17,Female,25-34,India,Pune,Google Ads,Regular
U39,2025-04-24,Prefer not to disclose,18-24,India,Mumbai,Facebook,Regular
U40,2025-06-04,Female,45+,India,Mumbai,Email,Occasional
U41,2025-10-23,Female,45+,India,Hyderabad,Instagram,Occasional
U42,2025-07-02,Female,35-44,India,Mumbai,Facebook,Premium
U43,2025-02-02,Female,45+,India,Delhi,Direct,Occasional
U44,2025-08-16,Prefer not to disclose,45+,India,Kolkata,Google Ads,Premium
U45,2026-02-28,Prefer not to disclose,25-34,India,Hyderabad,Instagram,Regular
U46,2024-08-04,Prefer not to disclose,25-34,India,Hyderabad,Direct,Occasional
U47,2025-01-31,Prefer not to disclose,25-34,India,Lucknow,Instagram,Occasional
U48,2026-01-10,Female,25-34,India,Lucknow,Direct,Regular
U49,2025-05-15,Female,25-34,India,Jaipur,Email,Premium
U50,2024-10-30,Prefer not to disclose,25-34,India,Noida,Google Ads,Premium
U51,2026-01-31,Male,25-34,India,Jaipur,Google Ads,Occasional
U52,2024-06-05,Male,35-44,India,Lucknow,Google Ads,Regular
U53,2024-08-23,Female,25-34,India,Hyderabad,Google Ads,Premium
U54,2025-02-19,Male,18-24,India,Noida,Email,Occasional
U55,2024-12-25,Prefer not to disclose,18-24,India,Delhi,Google Ads,Premium
U56,2025-09-06,Prefer not to disclose,18-24,India,Kolkata,Direct,Premium
U57,2024-06-25,Prefer not to disclose,35-44,India,Jaipur,Instagram,Premium
U58,2025-03-21,Prefer not to disclose,35-44,India,Jaipur,Email,Occasional
U59,2025-09-25,Female,25-34,India,Bangalore,Instagram,Occasional
U60,2024-07-25,Prefer not to disclose,35-44,India,Pune,Email,Premium
U61,2025-08-09,Male,18-24,India,Lucknow,Facebook,Premium
U62,2024-10-12,Prefer not to disclose,35-44,India,Delhi,Email,Occasional
U63,2024-11-17,Female,25-34,India,Pune,Instagram,Regular
U64,2024-08-19,Female,18-24,India,Lucknow,Instagram,Regular
U65,2025-10-24,Male,25-34,India,Chennai,Facebook,Premium
U66,2025-11-16,Female,25-34,India,Chennai,Instagram,Regular
U67,2025-01-09,Female,18-24,India,Bangalore,Email,Occasional
U68,2024-07-02,Female,45+,India,Bangalore,Instagram,Regular
U69,2025-08-29,Prefer not to disclose,25-34,India,Noida,Direct,Regular
U70,2026-03-13,Female,35-44,India,Bangalore,Organic,Occasional
U71,2024-08-04,Male,35-44,India,Pune,Direct,Occasional
U72,2025-01-26,Prefer not to disclose,35-44,India,Chennai,Organic,Occasional
U73,2024-06-06,Female,35-44,India,Jaipur,Google Ads,Occasional
U74,2025-12-17,Male,45+,India,Kolkata,Google Ads,Premium
U75,2026-01-30,Male,25-34,India,Noida,Direct,Occasional
U76,2025-08-23,Female,18-24,India,Jaipur,Organic,Occasional
U77,2025-11-01,Female,35-44,India,Pune,Google Ads,Occasional
U78,2025-01-07,Male,18-24,India,Chennai,Email,Occasional
U79,2025-08-05,Female,25-34,India,Delhi,Facebook,Regular
U80,2025-09-18,Male,25-34,India,Mumbai,Direct,Regular
U81,2025-11-13,Female,45+,India,Kolkata,Facebook,Regular
U82,2025-10-02,Female,35-44,India,Jaipur,Direct,Regular
U83,2026-01-28,Male,25-34,India,Delhi,Facebook,Occasional
U84,2025-09-04,Male,35-44,India,Bangalore,Facebook,Premium
U85,2024-10-15,Prefer not to disclose,45+,India,Mumbai,Instagram,Regular
U86,2025-07-19,Male,25-34,India,Noida,Facebook,Premium
U87,2025-03-20,Female,18-24,India,Pune,Email,Occasional
U88,2024-07-17,Prefer not to disclose,35-44,India,Kolkata,Instagram,Regular
U89,2025-06-20,Female,25-34,India,Pune,Organic,Premium
U90,2025-04-15,Female,45+,India,Chennai,Facebook,Occasional
U91,2026-04-03,Prefer not to disclose,35-44,India,Lucknow,Facebook,Premium
